name,sku,description,category,brand,price,comparePrice,costPrice,stock,rating,soldCount,movement,caseSize,caseMaterial,strapMaterial,waterResistance,color,gender,productType,isFeatured,isLimitedEdition,status,imageUrl,sourceUrl,supplierName,notes
ChronoCraft Duo Business Watch Set,CC-CLP-003,"An elegant couple's watch set featuring two classic square-dial stainless steel quartz timepieces. The sophisticated design brings a premium business feel to a matching gift set. Quality-checked for precision, scratch resistance, and comfortable wear. Perfect for celebrating anniversaries, engagements, and milestone moments together.",Couple Watches,ChronoCraft,479,599,148,35,4.8,12K+,Quartz,38mm / 32mm,Stainless Steel,Stainless Steel,3ATM,Silver/Gold,Unisex,Couple Watch Set,True,False,Draft,REVIEW_REQUIRED,https://www.temu.com/couple-watches-5020250879819-s.html,Temu / Generic OEM Supplier,LIEBIG brand. 4.8 stars. 12K+ sold. Square case design trending. Strong resale pick.
ChronoCraft Classic Duo Watch Set,CC-CLP-004,"A timeless matching couple's watch set with premium temperament design and elegant quartz movement. Two refined timepieces that pair beautifully for anniversaries, Valentine's Day, or daily couple's wear. Quality-checked for precision and comfort. Each piece carries a clean versatile design suitable for formal and casual occasions.",Couple Watches,ChronoCraft,349,449,110,45,4.7,13K+,Quartz,40mm / 32mm,Alloy,Alloy/Metal,Not Rated,Silver,Unisex,Couple Watch Set,True,False,Draft,REVIEW_REQUIRED,https://www.temu.com/couple-watches-5020250879819-s.html,Temu / Generic OEM Supplier,4.7 stars 13K+ sold. Strong couple gift appeal.
ChronoCraft Match Watch Set,CC-CLP-005,"A simple and stylish unisex couple's watch set — two high-quality quartz watches with matching dial designs. The understated elegance makes these an ideal everyday couple's accessory. Quality-checked for precision timekeeping. Suitable for gifting to partners, friends, or family. A thoughtful choice for any celebration.",Couple Watches,ChronoCraft,349,449,103,50,4.5,26K+,Quartz,40mm / 34mm,Alloy,Alloy/Metal,Not Rated,Gold/Silver,Unisex,Couple Watch Set,True,False,Draft,REVIEW_REQUIRED,https://www.temu.com/couple-watches-5020250879819-s.html,Temu / Generic OEM Supplier,SHAARMS brand. Best-Selling. 26K+ sold. Broad gifting appeal.
ChronoCraft Duo Sport Watch Set,CC-CLP-006,"A matching couple's set of four pieces — two quartz watches and two heart bracelets — in a casual-sporty design. Comfortable silicone band watches are fun and perfect for young couples. Quality-checked for durability and reliable quartz movement. An affordable and cheerful gift for birthdays, school occasions, and celebrations.",Couple Watches,ChronoCraft,279,369,80,50,4.4,5.9K+,Quartz,36mm,Alloy,Silicone,Not Rated,Black/Pink,Unisex,Couple Watch Set,False,False,Draft,REVIEW_REQUIRED,https://www.temu.com/couple-watches-5020250879819-s.html,Temu / Generic OEM Supplier,5.9K+ sold. Entry-level couple gift product.
ChronoCraft Harmony Watch Set,CC-CLP-007,"A fashionable couple's quartz watch set with exquisite mathematical scale round dial in two complementary color options. The alloy strap and elegant dial offer a refined look suitable for casual dates and everyday wear. Quality-checked for precision. A perfect gift for couples celebrating birthdays, holidays, and special milestones.",Couple Watches,ChronoCraft,299,399,83,40,4.5,1.6K+,Quartz,38mm / 32mm,Alloy,Alloy/Metal,Not Rated,Silver/Gold,Unisex,Couple Watch Set,False,False,Draft,REVIEW_REQUIRED,https://www.temu.com/couple-watches-5020250879819-s.html,Temu / Generic OEM Supplier,Unique mathematical scale dial. Good design differentiation.
ChronoCraft Unity Watch Set,CC-CLP-008,"A clean and modern matching couple's watch set with round numerical scale dials and steel strap construction. The minimalist design works for both formal and casual occasions. Includes gift box. Quality-checked for precision quartz movement. A meaningful and stylish gift that is packaged for any occasion.",Couple Watches,ChronoCraft,229,299,59,50,4.5,4.4K+,Quartz,40mm / 32mm,Alloy,Stainless Steel,Not Rated,Silver,Unisex,Couple Watch Set,False,False,Draft,REVIEW_REQUIRED,https://www.temu.com/couple-watches-5020250879819-s.html,Temu / Generic OEM Supplier,4.4K+ sold. Includes gift box — good gift presentation. Low cost excellent margin.
ChronoCraft Love Story Watch Set,CC-GFT-001,"A romantic women's fashion watch bundled with a shiny LOVE bracelet — an elegant two-piece gift set for Valentine's Day, Ramadan, or birthdays. The stainless steel case and zinc alloy bracelet pair beautifully. Quality-checked for accurate quartz movement and stylish finish. A heartfelt and affordable way to celebrate a special someone.",Watch Gift Sets,ChronoCraft,199,279,36,70,4.4,34K+,Quartz,30mm,Stainless Steel,Stainless Steel,Not Rated,Rose Gold,Female,Watch Gift Set,True,False,Draft,REVIEW_REQUIRED,https://www.temu.com/womens-watches-o3-729.html,Temu / Generic OEM Supplier,SHAARMS brand. Best-Selling. 34K+ sold. Exceptional cost-to-price margin. Top gift pick.
ChronoCraft Blue Moon Luxury Watch Set,CC-GFT-002,"A luxurious couple's watch set featuring two quartz timepieces with deep blue dial, two-tone gold/silver stainless steel strap, rhinestone Roman numeral dial, and luminous display. IPX7 water-resistant. A breathtaking gift for anniversaries, engagements, and unforgettable occasions. Presented as a complete premium gift set.",Watch Gift Sets,ChronoCraft,749,899,249,25,4.8,1K+,Quartz,40mm / 34mm,Stainless Steel,Stainless Steel,IPX7,Blue/Gold,Unisex,Watch Gift Set,True,True,Draft,REVIEW_REQUIRED,https://www.temu.com/couple-watches-5020250879819-s.html,Temu / Generic OEM Supplier,BANBONY brand. 4.8 stars. Premium looking gift set. Luxury feel at accessible price.
ChronoCraft Diamond Night Watch Set,CC-GFT-003,"A dazzling couple's watch set featuring two rhinestone-adorned quartz timepieces with luminous HD display and week/date calendar. The sparkling design creates a premium presentation — ideal as a gift for weddings, anniversaries, and festive celebrations. Both watches quality-checked for water resistance and lasting precision.",Watch Gift Sets,ChronoCraft,549,699,170,35,4.8,3.1K+,Quartz,40mm / 34mm,Alloy,Alloy/Metal,IPX7,Silver/Crystal,Unisex,Watch Gift Set,True,False,Draft,REVIEW_REQUIRED,https://www.temu.com/couple-watches-5020250879819-s.html,Temu / Generic OEM Supplier,4.8 stars 3.1K+ sold. Rhinestone detailing popular for Moroccan celebrations.
ChronoCraft Collection Watch Gift Box,CC-GFT-004,"A stunning variety gift box containing 12 fashion quartz watches in assorted styles, colors, and designs. A perfect display set for gifting parties, wholesale presentations, or multi-recipient celebrations. Each watch features a zinc alloy case and PU leather strap. Quality-checked for consistent movement. A unique and impressive gift collection.",Watch Gift Sets,ChronoCraft,629,799,203,20,4.7,7K+,Quartz,Assorted,Zinc Alloy,PU Leather,Not Rated,Assorted,Unisex,Watch Gift Set,False,False,Draft,REVIEW_REQUIRED,https://www.temu.com/couple-watches-5020250879819-s.html,Temu / Generic OEM Supplier,12-piece assorted set. 4.7 stars 7K+ sold. Unique multi-watch gift proposition.
ChronoCraft Prestige Duo Gift Set,CC-GFT-005,"A refined two-piece luxury men's and women's quartz watch gift set with modern round alloy case and matching design. Presented in an elegant gift format. Quality-checked for consistent quartz precision. An elegant and thoughtful gift for occasions such as Eid, weddings, graduation, and birthdays.",Watch Gift Sets,ChronoCraft,299,399,82,40,4.7,3.3K+,Quartz,38mm / 32mm,Alloy,Alloy/Metal,Not Rated,Gold/Silver,Unisex,Watch Gift Set,False,False,Draft,REVIEW_REQUIRED,https://www.temu.com/couple-watches-5020250879819-s.html,Temu / Generic OEM Supplier,SHAARMS brand. 3.3K+ sold. Good cultural fit for Moroccan gift occasions.
ChronoCraft 5-Slot Travel Watch Case,CC-ACC-001,"A premium 5-compartment watch travel case with soft cushioned dividers, flip-top lid, and carry handle. Scratch-proof lining protects your watches during travel and home storage. Suitable for men's and women's watches of various sizes. Quality-checked for durable construction. A practical and thoughtful gift for watch enthusiasts.",Watch Accessories,ChronoCraft,299,399,103,50,4.8,58K+,N/A,N/A,Hard Shell Plastic,N/A,N/A,Black,Unisex,Watch Accessory,True,False,Draft,REVIEW_REQUIRED,https://www.temu.com/watch-accessories-5020057090386-s.html,Temu / Generic OEM Supplier,#2 Best-Selling Watch Accessories. 58K+ sold. 4.8 stars. Strong add-on product.
ChronoCraft 5-Grid Watch Storage Box,CC-ACC-002,"A durable hard-shell 5-slot watch storage box with soft foam padding and carry handle. Designed for organized watch storage at home or during travel. Scratch-resistant lid and structured compartments keep timepieces safe. Quality-checked for build quality. An excellent gift for watch lovers and collectors.",Watch Accessories,ChronoCraft,299,399,104,50,4.8,21K+,N/A,N/A,Hard Shell Plastic,N/A,N/A,Black,Unisex,Watch Accessory,False,False,Draft,REVIEW_REQUIRED,https://www.temu.com/watch-accessories-5020057090386-s.html,Temu / Generic OEM Supplier,#8 Best-Selling Watch Accessories. 21K+ sold. Strong upsell product with watch purchases.
ChronoCraft 8-Slot Watch Display Box,CC-ACC-003,"A premium 8-slot watch display and storage box with foam cushion inserts and carry handle. Large capacity to organize a full watch collection. The elegant black exterior and soft interior make it suitable as a display piece or travel companion. Quality-checked for durable construction. An excellent gift for dedicated watch collectors.",Watch Accessories,ChronoCraft,649,799,222,25,4.8,11K+,N/A,N/A,Hard Shell Plastic,N/A,N/A,Black,Unisex,Watch Accessory,True,False,Draft,REVIEW_REQUIRED,https://www.temu.com/watch-accessories-5020057090386-s.html,Temu / Generic OEM Supplier,Best-Selling. 11K+ sold. Premium 8-slot capacity. Good for serious collectors.
ChronoCraft Silicone Sport Strap 20/22mm,CC-ACC-004,"A soft and durable silicone replacement strap compatible with Samsung Galaxy Watch 4/5/6/7, Garmin, Huawei, Amazfit, and most 20mm/22mm smartwatches. Lightweight, sweat-resistant, and comfortable for all-day active wear. Quality-checked for secure fit and longevity. An essential accessory for smartwatch owners who want a fresh sporty look.",Watch Accessories,ChronoCraft,99,149,18,100,4.8,92K+,N/A,20mm/22mm,N/A,Silicone,N/A,Assorted Colors,Unisex,Watch Accessory,True,False,Draft,REVIEW_REQUIRED,https://www.temu.com/watch-accessories-5020057090386-s.html,Temu / Generic OEM Supplier,Best-Selling. 92K+ sold. Very high volume low-cost accessory. Great smartwatch upsell.
ChronoCraft Leather Smart Watch Strap 22mm,CC-ACC-005,"A premium synthetic leather replacement strap compatible with Samsung Galaxy Watch 6/5/4, Huawei GT series, Xiaomi, and most 20/22mm smartwatches. The magnetic buckle provides a secure and stylish fit for business and casual settings. Quality-checked for comfortable daily wear. Transform your smartwatch with a refined leather look.",Watch Accessories,ChronoCraft,119,169,27,100,4.8,48K+,N/A,20mm/22mm,N/A,Synthetic Leather,N/A,Brown/Black,Unisex,Watch Accessory,False,False,Draft,REVIEW_REQUIRED,https://www.temu.com/watch-accessories-5020057090386-s.html,Temu / Generic OEM Supplier,Best-Selling. 48K+ sold. Magnetic buckle feature. Good cross-sell with smartwatches.
ChronoCraft 6-Slot Luxury Watch Box,CC-ACC-006,"An elegantly crafted 6-slot watch display box with synthetic faux leather lining and anti-shock padding. The rectangular design with portable handle accommodates large and small watches securely. Quality-checked for durable construction and refined finish. An ideal display case for home and travel — and a meaningful gift for watch enthusiasts.",Watch Accessories,ChronoCraft,499,649,159,30,4.6,2K+,N/A,N/A,Faux Leather / Plastic,N/A,N/A,Black/Brown,Unisex,Watch Accessory,False,False,Draft,REVIEW_REQUIRED,https://www.temu.com/watch-accessories-5020057090386-s.html,Temu / Generic OEM Supplier,Luxury faux leather finish. 2K+ sold. Premium storage box for higher-end positioning.
ChronoCraft Watch Gift Presentation Box,CC-ACC-007,"A quality flannel watch packaging gift box with soft cushioned interior, designed to present any watch beautifully. The refined presentation makes it perfect for gifting occasions — Eid, birthdays, and special celebrations. Compatible with most standard watch sizes. Quality-checked for consistent construction. Elevate any watch gift with elegant packaging.",Watch Accessories,ChronoCraft,199,269,50,60,4.8,1.7K+,N/A,N/A,Flannel / Cardboard,N/A,N/A,Black,Unisex,Watch Accessory,False,False,Draft,REVIEW_REQUIRED,https://www.temu.com/watch-accessories-5020057090386-s.html,Temu / Generic OEM Supplier,4.8 stars gift box. Good bundle-sell with watches. Very low cost.
